1474979716,2.8,7
1474979718,45.5,143
1474979720,0.0,143
1474979722,0.0,143
1474979724,0.1,143
1474979726,21.6,243
1474979728,14.7,327
1474979730,13.2,375
1474979732,20.5,428
1474979734,18.4,481
1474979736,33.6,567
1474979738,15.4,700
1474979740,8.0,780
1474979742,11.5,851
1474979744,8.7,869
1474979746,10.7,898
1474979748,15.8,981
1474979750,13.5,1057
1474979753,10.3,1130
1474979755,13.7,1206
1474979757,100.0,1286
1474979759,34.3,1357
1474979761,19.9,1422
1474979763,14.2,1499
1474979765,10.1,1566
1474979767,4.8,1641
1474979769,12.1,1724
1474979771,15.0,1805
1474979773,10.2,1879
1474979775,19.9,1962
1474979777,24.1,2037
1474979779,15.4,2116
1474979781,20.6,2200
1474979783,23.5,2277
1474979785,109.0,2549
1474979787,13.4,2629
1474979789,16.3,2696
1474979791,11.2,2759
1474979793,9.1,2824
1474979795,7.0,2883
1474979797,7.0,2948
1474979799,14.4,3018
1474979801,23.5,3091
1474979803,13.0,3151
1474979805,14.6,3213
1474979807,24.3,3278
1474979809,18.9,3340
1474979811,26.4,3405
1474979813,30.3,3479
1474979815,28.0,3539
1474979817,24.3,3602
1474979819,85.2,3362
1474979821,18.7,3380
1474979823,9.9,3398
1474979825,11.7,3417
1474979827,13.2,3438
1474979829,17.9,3456
1474979831,10.4,3473
1474979833,12.7,3492
1474979836,8.2,3509
1474979838,16.5,3530
1474979840,12.7,3580
1474979842,22.7,3639
1474979844,39.7,3714
1474979846,49.2,3783
1474979848,39.7,3845
1474979850,56.5,3565
1474979852,3.1,3577
1474979854,9.6,3599
1474979856,11.7,3617
1474979858,12.0,3637
1474979860,14.8,3657
1474979862,11.8,3675
1474979864,6.4,3692
1474979866,11.7,3712
1474979868,10.0,3728
1474979870,6.7,3746
1474979872,45.9,3767
1474979874,27.1,3783
1474979876,42.2,3817
1474979878,19.3,3570
1474979880,17.1,3588
1474979882,13.6,3608
1474979884,12.7,3626
1474979886,8.2,3644
1474979888,9.0,3662
1474979890,12.9,3681
1474979892,15.7,3700
1474979894,11.9,3717
1474979896,10.4,3735
1474979898,10.5,3751
1474979900,21.3,3771
1474979902,42.9,3788
1474979904,71.7,3560
1474979906,12.0,3574
1474979908,8.1,3591
1474979910,11.7,3611
1474979912,6.9,3630
1474979914,8.4,3648
1474979916,9.6,3666
1474979919,9.9,3684
1474979921,14.3,3704
1474979923,11.4,3722
1474979925,11.2,3741
1474979927,33.1,3762
1474979929,36.7,3779
1474979931,32.8,3555
1474979933,11.7,3572
1474979935,6.8,3589
1474979937,12.8,3608
1474979939,12.6,3627
1474979941,7.0,3645
1474979943,8.2,3664
1474979945,10.9,3681
1474979947,12.1,3700
1474979949,10.5,3717
1474979951,12.4,3734
1474979953,53.6,3753
1474979955,46.9,3773
1474979957,12.3,3555
1474979959,16.8,3576
1474979961,11.2,3593
1474979963,5.4,3609
1474979965,7.4,3629
1474979967,7.4,3648
1474979969,10.3,3666
1474979971,8.9,3684
1474979973,9.9,3703
1474979975,14.4,3723
1474979977,42.8,3742
1474979979,46.9,3759
1474979981,18.3,3550
1474979983,15.0,3568
1474979985,8.2,3586
1474979987,11.6,3605
1474979989,7.9,3623
1474979991,6.7,3642
1474979993,7.3,3659
1474979995,16.8,3680
1474979997,20.1,3699
1474979999,15.8,3718
1474980001,46.4,3735
1474980004,27.1,3751
1474980006,12.9,3547
1474980008,8.5,3564
1474980010,6.3,3582
1474980012,9.3,3600
1474980014,15.9,3622
1474980016,15.5,3640
1474980018,14.1,3660
1474980020,18.8,3679
1474980022,10.6,3696
1474980024,8.5,3714
1474980026,10.2,3731
1474980028,40.2,3749
1474980030,12.2,3544
1474980032,19.2,3565
1474980034,9.3,3584
1474980036,10.0,3601
1474980038,12.2,3623
1474980040,15.3,3642
1474980042,7.8,3658
1474980044,9.7,3678
1474980046,12.5,3696
1474980048,7.3,3714
1474980050,24.3,3731
1474980052,121.6,3536
1474980054,13.8,3549
1474980056,7.3,3565
1474980058,3.9,3582
1474980060,13.0,3604
1474980062,8.9,3622
1474980064,2.8,3638
1474980066,12.0,3661
1474980068,14.3,3678
1474980070,13.0,3697
1474980072,15.3,3716
1474980074,93.3,3733
1474980076,8.1,3526
1474980078,12.7,3545
1474980080,17.6,3564
1474980082,11.0,3582
1474980084,10.2,3601
1474980086,12.0,3620
1474980089,11.1,3638
1474980091,8.1,3658
1474980093,8.3,3677
1474980095,8.1,3694
1474980097,79.4,3713
1474980099,6.3,3517
1474980101,6.4,3534
1474980103,17.1,3555
1474980105,12.3,3574
1474980107,13.4,3594
1474980109,11.5,3610
1474980111,19.7,3631
1474980113,17.1,3647
1474980115,6.4,3663
1474980117,12.1,3682
1474980119,11.4,3701
1474980121,55.4,3509
1474980123,10.7,3526
1474980125,12.8,3545
1474980127,11.9,3565
1474980129,9.6,3582
1474980131,24.7,3606
1474980133,12.5,3622
1474980135,9.8,3639
1474980137,13.0,3656
1474980139,12.2,3674
1474980141,11.1,3693
1474980143,150.0,3506
1474980145,17.7,3520
1474980147,8.2,3538
1474980149,8.4,3557
1474980151,6.8,3576
1474980153,13.3,3597
1474980155,16.1,3614
1474980157,9.9,3633
1474980159,10.5,3649
1474980161,13.2,3671
1474980163,8.8,3689
1474980165,52.1,3500
1474980167,11.7,3516
1474980169,6.5,3532
1474980171,13.6,3553
1474980174,17.8,3572
1474980176,16.2,3590
1474980178,13.5,3609
1474980180,11.6,3628
1474980182,13.1,3645
1474980184,14.2,3665
1474980186,9.6,3683
1474980188,79.9,3497
1474980190,12.9,3513
1474980192,7.7,3531
1474980194,13.5,3550
1474980196,13.8,3569
1474980198,13.8,3586
1474980200,16.3,3606
1474980202,11.7,3625
1474980204,13.5,3642
1474980206,10.7,3659
1474980208,10.8,3679
1474980210,168.4,3493
1474980212,26.9,3507
1474980214,14.2,3525
1474980216,16.8,3544
1474980218,7.0,3562
1474980220,12.9,3581
1474980222,10.5,3599
1474980224,7.3,3617
1474980226,12.9,3637
1474980228,19.5,3657
1474980230,13.8,3674
1474980232,163.5,3492
1474980234,14.0,3507
1474980236,7.7,3523
1474980238,4.8,3542
1474980240,11.1,3560
1474980242,16.9,3578
1474980244,11.7,3597
1474980246,13.0,3617
1474980248,8.7,3633
1474980250,11.5,3653
1474980252,18.5,3672
1474980255,93.3,3688
1474980257,10.6,3493
1474980259,17.6,3514
1474980261,15.6,3535
1474980263,8.8,3551
1474980265,10.5,3571
1474980267,11.1,3590
1474980269,8.7,3607
1474980271,11.2,3626
1474980273,13.2,3645
1474980275,7.8,3661
1474980277,23.5,3679
1474980279,7.8,3490
1474980281,5.2,3507
1474980283,13.1,3527
1474980285,11.0,3546
1474980287,11.7,3566
1474980289,8.5,3582
1474980291,6.2,3600
1474980293,17.8,3622
1474980295,15.6,3641
1474980297,13.9,3660
1474980299,8.4,3677
1474980301,22.8,3491
1474980303,9.7,3507
1474980305,10.9,3525
1474980307,8.8,3544
1474980309,12.0,3565
1474980311,14.8,3583
1474980313,16.9,3605
1474980315,12.5,3622
1474980317,12.4,3639
1474980319,6.0,3657
1474980321,4.2,3675
1474980323,27.9,3488
1474980325,13.2,3506
1474980327,10.1,3525
1474980329,6.2,3542
